제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
가야곡왕주,"조선의 마지막국모 명성황후 민씨의 친정에서 빚던 가양주로 종묘대제의 제주(祭酒)로 사용되고 있다. 제철에 채취한 초, 근, 목, 피를 이용해야",13,750ml,"쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실",전통식품명인 제13호 남상란,"갈비 소고기나 돼지고기를 양념한 갈비와 함께 먹으면 몸에 좋은 약재의 효능과 함께 영양도 챙길 수 있고, 술의 다양한 맛과 향이 갈비의 이취도",Y,민속주왕주,충남 논산시 원댕이길 2-65,,
금산인삼주 12.5%,"약효가 뛰어난 5년근 이상 인삼을 사용하여 쌀과 누룩 등의 원료와 천연암반수를 사용하여 저온 발효시킨 양조주로서, 소주에 단순히 인삼을 담가 ",12.5,360ml,"국내산쌀 93.5%, 국내산인삼 6.5%",전통식품명인 제2호 김창수,"고사리나물 고사리나물은 잘 삶아서 깨끗이 씻어 찬물에 하루 동안 불려 팬에 기름을 넉넉히 둘러 볶고, 간장으로 간을 한다. 고사리나물의 부드러",Y,금산인삼주,충남 금산군 금성면 파초길 23,,2010 대한민국우리술품평회 대상 (약주/청주 부문)
면천두견주,"천년 명주의 맥을 이어온 오랜 역사와 전통성, 진달래꽃잎으로 빚은 지극한 효성이 탄생시킨 술로 전통 발효주 가운데서는 높은 알콜도수에도 불구하",18,"360ml, 700ml","국내산 찹쌀, 누룩, 국내산 진달래꽃",중요무형문화재 제86-2호,"두부샐러드 고단백 저지방식품인 두부는 알콜 흡수속도를 늦추고, 위를 보호해주어 술안주로 좋은데 두견주의 은은한 두견화 향취를 제대로 느낄 수 ",N,㈜면천두견주,충남 당진시 면천호 성하로 250,http://www.면천두견주.kr/,
산막생대덕주,"대덕주는 100여년의 역사가 있는 전통주로 유씨종가에 내려오는 전통주를 개발, 발굴하였으며 화학첨가물을 사용하지 않고 150m 암반수를 황토에",13,750ml,"국내산 찹쌀, 누룩",,"도토리묵 무침, 두부요리 도토리는 피로회복 및 숙취에 효과가 있고 소화기능을 촉진시키며 입맛을 돋우어준다. 약리효과, 해독작용, 노폐물분해, ",Y,신탄진주조,대전 대덕구 신탄진로 738번길,http://www.stjjujo.co.kr/,2011 대한민국우리술품평회 우수상 (약주/청주 부문)
천안연미주,고려시대부터 전해 내려온 생쌀발효기법을 다시 재현한술로 전통주의 현대적제조방법과 융합하여 제조된 제품이다. 쌀을 찌지 않고 누룩과 자연 그대로,13,375ml,국내산 쌀,,"야채샐러드 양배추, 방울토마토, 적채 등의 채소에 소스를 섞어서 먹는데 소스는 두부, 견과류, 올리브유, 식초 등으로 맛을 낸다. 상큼하고 달",Y,입장주조㈜,충남 천안시 서북구 입장면 성진로 808,https://yeonmiju.modoo.at/,"2011 대한민국우리술품평회 최우수상 (약주/청주 부문), 2012 대한민국우리술품평회 장려상 (약주/청주 부문), 2014 대한민국우리술품평"
하얀연꽃 백련맑은 술,전통적으로 사찰에서 전수되어온 백련곡차의 현대적 복원으로 백련잎을 첨가한 연엽주계열 의전통약주이다. 당진 해나루쌀을 사용하여 술의 빛깔이 밝고,12,"375ml, 750ml","국내산 쌀, 백련잎",식품명인2013 찾아가는 양조장,훈제오리야채볶음- 훈제오리야채볶음의 버섯과 야채향이 어우러진 담백한 맛이 부드럽고 은은한 연잎향의 약주와 잘 어울린다.,Y,신평양조장,충남 당진시 신평면 신평로 813,http://www.koreansul.co.kr,2013 대한민국우리술품평회 장려상 (약주/청주 부문)
오미시앙 스페셜,소통하는 와이너리 알에프에서는 산뜻한 느낌의 와인인 오미시앙 스페셜을 만날 수 있다. 향긋한 향이 한껏 스쳐 지나간 뒤 올라오는 적당한 산미가,12,500ml,"오미자, 주정, 설탕, 효모",,오미자의 오미 중에서 단맛은 적지만 산뜻한 산미와 텁텁함이 혀를 자극시키며 목넘김이 매우 깔끔해 생선 회와 잘 어울린다.,Y,알에프,전북 장수군 계남면 침곡로 11-26,,
오미로제 프리미어와인,"오미로제 프리미어와인은 문경 백두대간의 깊은 계곡에서 재배한 유기농, 친환경 오미자를 원료로 유럽의 정통와인 양조 기법 그대로 발효 숙성한 세",12,750ml,오미자(문경산),2016 찾아가는 양조장,"진한 한국음식과도 최고의 궁합을 선사한다. 오미로제가 나오는 문경에서는 오미자 삼겹살, 더덕구이, 산나물, 그리고 송이버섯요리가 유명하다다. ",Y,오미나라,경북 문경시 문경읍 새재로 609,http://www.omynara.com/,
오디랑,"원재료 생산지부터 차별화된 프리미엄급 술 오디랑은 단맛과 신맛이 조화로운 새콤달콤한 맛이 일품으로, 생산과정의 깐깐함은 국순당 고창명주의 자존",13,330ml,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",,알코올의 맛이 입과 식도를 뜨겁게 하지만 먹고 난 후 입 안은 깔끔합니다. 양념된 고기류와 잘 어울린다.,Y,국순당 고창명주,전북 고창군 심원면 선운대로 2197,http://bokbunjaju.kr/,
오가피와인,"금이산농원에서 생산하는 오가피와인은 가을 색이 깊은 11월에 채취한 오가피 열매에 효모를 넣어 발효, 숙성시켜 만든 몸에 좋은 발효주로 해발 ",12,500ml,"오가피 열매(국내산), 백설탕, 효모, 메타중아황산칼륨",,복날 삼계탕 등 보신 음식과 함께하기 좋은 술이다.,Y,영농조합법인 금이산농원,세종시 전의면 가느실길 127,https://geumisan.modoo.at/,
예주,예주는 제조사 용두산조은술의 직영농장에서 농약과 화학비료 없이 자연 그대로 길러낸 복분자를 이용하여 제조한다. 독일 늦따기 와인 제조기법으로 ,15,750ml,"복분자, 주정, 효모, 정제수",,소고기 소금구이 등 담백한 음식과 곁들이면 좋습니다.,Y,용두산조은술,충북 제천시 송학면 송학주천로647,https://joeunsul.com/,
예밀와인 로제,예밀와인 로제는 강원도 영월에 위치한 예밀2리영농조합법인에서 생산하는 한국와인이다. 한국인이 식용으로 애용하는 캠벨얼리 포도품종으로 만든 와인,12,750ml,포도(캠벨얼리),,생일 등 축제에 사용하기 좋은 술로 달콤한 케익 등과 잘 어울립니다.,Y,예밀2리영농조합법인,강원도 영월군 김삿갓면 예밀촌길 228-20,http://www.yemilchon.co.kr/,2018 광명동굴 대한민국와인품평회 은상 수상
예밀와인 레드 스위트,&quot;예밀와인 레드 스위트&quot;는 강원도 영월에 위치한 예밀2리영농조합법인에서 생산하는 한국와인이다. 한국인이 식용으로 애용하는 캠,12,750ml,포도(캠벨얼리),,누구나 쉽게 즐길 수 있는 술입니다. 타닌이 강하지 않아 입 안의 느낌이 무겁지 않고 깔끔하게 마무리 됩니다. 달콤한 디저트 음식과 잘 어울립,Y,예밀2리영농조합법인,강원도 영월군 김삿갓면 예밀촌길 228-20,http://www.yemilchon.co.kr/,
예밀와인 레드 드라이,예밀와인 레드 드라이는 강원도 영월에 위치한 예밀2리영농조합법인에서 생산하는 한국와인이다. 한국인이 식용으로 애용하는 캠벨얼리 포도품종으로 만,13,750ml,포도(캠벨얼리),,드라이 버전 답게 매우 담백하고 단맛이 적어 양념이 되지 않은 구은 고기류의 음식과 함께 마시기 좋다.,Y,예밀2리영농조합법인,강원도 영월군 김삿갓면 예밀촌길 228-20,http://www.yemilchon.co.kr/,2019 대한민국주류대상 한국와인부문 대상 수상
여포의 꿈 레드(SWEET),"여포의 꿈 레드 (SWEET)는 머스켓베리에이(MBA), 켐벨얼리, 산머루의 세가지 포도품종을 각각 60%, 30%, 10%의 비율로 브랜딩하",12,750ml,국내산 포도 100%,2019 찾아가는 양조장,여름에 잘 익은 포도밭에 온 듯한 향기와 산미는 적지만 풍만한 단맛이 입에 오랜 여운을 남긴다. 바디감이 있지만 목넘김이 부드러워 특별한 날 ,Y,여포와인농장,충북 영동군 양강면 유점지촌길 75,https://yeopo.modoo.at/,2014년 한국와인대상 실버상
홍시와인,홍시와인은 농화학과 식품공학을 전공한 1급 주조사 면허증을 가진 38년 내공 양조 전문 기술자가 오랜 연구로 만든 와인이다. 상주의 잘 익은 ,10.5,375ml,"감열매(국내산), 효모, 메타중아황산칼륨, 이산화황",,일반적인 화이트 와인과 마찬가지로 냉장고 온도로 차게 보관하시다가 드시면 홍시와인의 풍부한 맛을 느끼실 수 있다.,Y,젤코바와이너리,경북 상주시 청리면 남상주로 1108-3,,
여포의 꿈 레드(Dry),"무농약, 무제초, 무비료의 3대 원칙을 지켜나가며 만드는 와인의 깊은 맛과 풍미는 어느 유명 와인과 견주어도 손색 없을 정도로 그 완성도가 뛰",12,750ml,국내산 포도 100%,2019 찾아가는 양조장,신선한 포도 껍질에서 나는 향이 진하게 올라오고 단맛과 신맛의 균형이 잘 갖춰져 있다. 옅은 타닌에 의한 떫은 맛이 혀를 자극시키며 목넘김이 ,Y,여포와인농장,충북 영동군 양강면 유점지촌길 75,https://yeopo.modoo.at/,2014 한국와인대상 실버상
P.S 로제 스파클링,시나브로 에뚜왈 로제 스파클링 와인은 로제와인을 베이스로 탄산을 넣어 만든 와인이다. 입안에서 느껴지는 무수한 탄산 기포는 와인 이름처럼 밤하,5,750ml,포도(캠벨얼리),,전체적으로 식전 주 또는 식후 주가 맞는 와인으로 스위트한 맛이 주축을 이룬 만큼 샐러드와 같은 가벼운 요리가 어울린다.,Y,시나브로 와이너리,충청북도 영동군 심천면 약목2길 23,,2016년 아시아와인 트로피 은상
시나브로 나르샤 로제와인,시나브로 로제와인은 로제와인을 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 캠벨얼리로 양조하여 특유하고,10,500ml,포도(캠벨얼리),,"전체적으로 매운맛, 쓴맛, 그리고 타닌감은 없지만, 식전 주에는 식욕을 돋우는 와인으로, 식후에는 입속에 좋은 향기를 느끼게 하는 와인으로는 ",Y,시나브로 와이너리,충청북도 영동군 심천면 약목2길 23,,
시나브로 캠벨 스위트,시나브로 레드 스위트와인은 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 갬벨얼리로 향조하여 특유하고 풍,12,750ml,포도(캠벨얼리),,"누가 즐겨도 편안하고 무난하게 즐길 수 있는 맛이며, 달콤한 맛이 특별한 만큼 좋은 식사를 기분 좋게 마무리하는 역할로 식후주로 추천한다.",Y,시나브로 와이너리,충청북도 영동군 심천면 약목2길 23,,
