제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
토끼 소주,"인공 감미료를 넣지 않고 쌀을 발효하는 조선시대 전통 방식을 사용하며, 100% 찹쌀과 9일동안 발효시킨 누룩을 사용한다. 매운향과 후추향이 ",23,375ml,"정제수, 찹쌀, 누룩, 효모, 효소제\",,"LA갈비, 소불고기, 매운탕, 쭈꾸미 볶음",Y,농업회사법인 토끼소주㈜,충북 충주시 엄정면 웃세고개길 35-16,https://tokkisoju.com/,
제주낭만,쌀 100%를 사용하여 감압증류한 증류식 소주에 백도라지를 넣어 만든 술이다. 백도라지 향이 은은하게 퍼져 목넘김이 부드럽고 감칠맛을 느낄 수,40,500ml,"쌀, 백도라지",,"삼계탕, 오리주물럭 등 고기 안주",Y,술도가제주바당,제주 제주시 구좌읍 종달로5길 27,https://jejudoga.modoo.at/,
키위술,제주산 그린키위와 골드키위로 빚은 증류주이다. 유럽식 가향 증류주 슈냅스(Schnapps) 제조방식을 사용하여 원재료인 키위의 향을 그대로 느,40,500ml,"그린키위, 골드키위",,회를 비롯한 해산물 음식,Y,술도가제주바당,제주 제주시 구좌읍 종달로5길 27,https://jejudoga.modoo.at/,
커피와인 톡시,그린빈(커피생두)을 발효시켜 만든 커피와인이다. 제주 화산송이로 숙성하여 목넘김이 부드럽고 커피의 향과 와인맛을 동시에 느낄 수 있다.,11,200ml,커피생두 발효액,,"크래커, 치즈, 다크초콜렛",Y,제주커피수목원,제주 서귀포시 안덕면 사계리 3136,http://www.coffeewine.kr,
메밀이슬,메밀 발효주를 증류시켜 만든 소주이다. 한 모금 마시자마자 메밀 특유의 쌉싸름한 향과 맛을 그대로 느낄 수 있다. 도수가 높으나 가볍고 부드럽,40,500ml,"메밀(제주산), 입국(국내산), 효모, 정제수",,"소고기 샤브샤브, 돼지 수육 등 육류 요리",Y,술도가제주바당,제주 제주시 구좌읍 종달로5길 27,https://jejudoga.modoo.at/,
커피냑,"커피 와인을 증류하여 만든 최초의 커피 브랜디. 쌉쌀하면서도 새큼한 산미와 은은한 커피 향이 일품이며, 끝 맛은 달달하여 술 한 모금에 다채로",40,200ml,"커피생두, 백설탕, 효모, 정제수, 클로로겐산",,"고등어구이, 흰살생선, 제육볶음 등 다양한 안주와 어울린다.",Y,제주커피수목원,제주 서귀포시 안덕면 사계리 3136,http://www.coffeewine.kr,2019 대한민국 주류대상 대상
풍정사계 동(冬),동은 설기로 밑술한 법주를 증류 후 1년 이상 장기 숙성한 증류식 소주로 상압증류의 전형적인 불향이 느껴지며 42도라는 높은 도수에 비해 매우,"25, 42",375ml,"찹쌀, 향온곡",,"도미찜, 고기요리",Y,풍정사계,충청북도 청주시 청원구 내수읍 풍정1길 8-2,https://www.hwayang.co/,2016년 대한민국 우리술품평회 최우수상
해방주,영덕군 지역 특산물인 바닷가의 방풍나물과 국내산 쌀로 저온 숙성 발효시킨 전통 발효주로 부드럽고 목넘김이 좋습니다. 자연 그대로의 신선한 향을,18.8,375ml,해방풍연한잎(국내산),,생선회 또는 고기종류,Y,농업회사법인영덕주조,경북 영덕군 강구면 소월1길 16-10,http://www.ydjujo.co.kr/,
혼,"원재료 본연의 풍미를 유지하기 위해 1,2차에 걸친 숙성과정을 거칩니다. 증류 후 1차 숙성을 거친 뒤 원하는 도수를 맞추기 위해 물을 타는 ",22,375ml,문경사과(국내산),,한우 육회,Y,오미나라,경북 문경시 문경읍 새재로 609,http://www.omynara.com/,
소여강,추연당의 전통 오양주 방식으로 재현한 청주 순향주를 정성스럽게 담아 동 증류기에서 상압으로 증류한 품격 있는 전통 소주입니다. 추연당의 전통 ,42,375ml,"쌀(경기미), 누룩(국내산), 물(정제수)",,"얼큰한 국물류, 곱창전골, 담백한 샤브샤브",Y,추연당,경기도 여주군 가남읍 금당리 531-2,https://smartstore.naver.com/chuyondang,
명랑 스컬,"""더한주류""에서 2018년 새롭게 출시한 서울의 밤과 옥토끼프로젝트의 협업 제품이다. 기존보다 낮은 알코올 도수로 17%이다. 국내의 다른 매",17,375ml,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",,노간주나무열매가 들어간 진(GIN)의 느낌에 달콤한 향이 섞여 올라오는 것이 특징이다. 약간의 단맛이 술의 풍미를 좋게 만들고 입 안의 자극을,Y,더한주류,서울특별시 은평구 증산로7길 28-13,http://www.thehan.kr,
로아40 레드,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 사과를 사용하여 고도주,40,350ml,사과소주원액,,,Y,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,
필,여주산 고구마를 하나하나 손질하여 발효시킨다. 발효가 끝나면 술지게미를 거르고 다시 동증류기를 이용하여 상압식증류로 고구마증류원액을 내린다. ,25,375ml,"고구마증류원액(고구마여주산100%),정제수",2021 찾아가는 양조장,"맑은 탕요리류와 간이 약한 육류, 해산물, 향과 맛이 약한 모든 음식과 잘 어울리는 술이다.",Y,술아원,"경기도 여주시 대신면 대신1로 120, 나호",https://soolawon.modoo.at/,
복분자아락40,국내 최대 복분자 산지 전북 고창의 복분자로만 빚은 증류주로 맛의 원숙함이 일품이다. 선운산을 중심으로 자라는 고창 복분자는 서해안의 해풍을 ,40,500ml,"복분자증류원액(국내산), 정제수",,맑고 투명하며 알코올향과 함께 복분자 향기와 달콤한 향기가 올라온다. 입 전체에 복분자 증류 특유의 맛이 퍼지는데 자극적이 않아 숙성이 잘 된,Y,배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,2015 대한민국 우리술품평회 일반증류주 대상
오디아락40,오디아락은 고창산 오디를 저온 숙성하여 은은한 오디향과 오디 천연의 감미를 최대한 끌어올린 제품이다. 새콤달콤한 오디의 향과 맛이 입안을 감싸,40,500ml,오디증류주원액,,,Y,배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,
신례명주,"혼디주와 동일한 원료, 효모를 사용해 제조한 발효원액을 맑은 상등액만 분리하여 낮은 온도에서 증류시킨 증류주이며 첨가물을 넣지 않고 빚었다. ",50,750ml,"제주산감귤, 감귤 증류주",,"생선회, 구이 등 해산물류와 수육, 보쌈 등 육류와 잘 어울린다.",Y,시트러스,제주특별자치도 서귀포시 남원읍 신례천로46,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077972,
삼해소주,"삼해주의 주 재료는 맵쌀과 찹쌀, 누룩, 물이고, 맑은 약주를 만든 뒤 숙성시켜서 증류하면, 약주 투입 양의 30% 정도만 얻을 수 있는 고급",45,400ml,"멥쌀, 찹쌀, 누룩",대한민국 식품명인,,Y,㈜삼해소주,서울 종로구 창덕궁길 142,https://samhaesoju.kr/,
원매,더한주류에서 황매실 100%로 담근 프리미엄 매실주 ‘원매’ 20도를 라벨 리뉴얼하며 새롭게 출시했습니다. 원매는 황매실 100%로 3년 이상,20,750ml,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",,"황매실을 이용해 맑은 호박색을 가지고 있으며, 매실의 신선한 향이 가득한 것이 특징이다. 도수가 낮아 누구라도 편하게 즐길 수 있으며 처음 단",Y,더한주류,서울특별시 은평구 증산로7길 28-13,http://www.thehan.kr,
느린마을 증류주,‘느린마을 증류주’는 전북 고창에서 재배한 쌀로 빚은 소주 원액을 최적으로 블랜딩한 제품이다. 알코올 도수 16.9도로 순한 목 넘김과 은은한,16.9,360ml,쌀(국내산),2014 찾아가는 양조장,수육 그리고 회나 해산물과 곁들이면 부드러운 향을 함께 느낄 수 있다.,Y,배상면주가,경기도 포천시 화현면 화현리 512,http://www.sansawon.co.kr,
명품홍주,"고두밥을 지어 덧술을 만들고, 발효가 끝난 덧술을 가마솥에 부어 예열해, 가마솥 위에 소줏고리를 올려 증류된 소주를 내린다. 마지막으로 지초뿌",38,375ml,"쌀, 지초",,알코올도수가 높지만 입 안에서는 매우 부드럽고 입술과 혀를 자극시키지 않는다. 목넘김이 깔끔하고 박하와 같은 느낌이 든다. 조개찜 등과 잘 어,Y,대대로영농조합법인,전남 진도군 군내면 둔전리 98,http://www.e-hongju.co.kr,
대잎술,"대잎술에는 멥쌀과 찹쌀을 주 재료로 솔잎, 인삼, 대추, 구기자, 산약, 오미자, 당귀 등 10여 가지의 한약재가 들어가 대나무에서 100일 ",12,300ml,"쌀, 누룩, 댓잎, 솔잎, 진피, 갈근, 오미자, 구기자, 죽력 등",2014 찾아가는 양조장,기분을 좋게 하는 옅은 꽃향이 올라오고 맑은 단맛과 산미 등 오미의 균형이 잘 갖춰져 있다. 바디감과 목넘김이 가볍다. 스테이크와 잘 어울린다,Y,추성고을,전남 담양군 용면 추령로 29,http://www.chusungju.co.kr,
려,려(驪)증류소주 25도는 여주의 자연에서 잘 자란 최고급의 고구마와 쌀로 빚어 상압증류를 통한 고구마 소주의 향긋한 향과 감압증류한 쌀소주의 ,25,"375ml, 500ml","쌀증류소주원액(여주산 쌀 100%), 정제수, 고구마증류소주원액(여주산 고구마 100%)",,포도를 증류한 브랜디에서 나는 향긋한 향기가 물씬 올라와 기분을 좋게 만들어 준다. 술을 입에 넣으면 마치 맑은 청주를 마시는 느낌이다. 도수,Y,국순당,강원도 횡성군 둔내면 현천리 120,http://www.ksdb.co.kr,2019 대한민국 우리술품평회 증류주 최우수상
천비향 화주,&quot;천비향 화주&quot;는 오양주기법으로 제조한 약주를 증류한 제품이다 오랜 전통방식인 오양주 제조기법으로 만든다. 오양주라고 하면 ,40,375ml,"국내산 쌀, 누룩",,"상압방식의 증류식 소주로 익은 곡물과 훈연된 향이 짙게 올라오는 것이 특징이며, 알코올 도수에 비해 자극적이지 않고 입 안을 뜨겁게 만들어 술",Y,좋은술,경기 평택시 오성면 숙성뜰길 108,https://jsul.modoo.at/,
한주,한주는 조선시대 선조들의 ‘로주두말빚이(露酒二斗方)’ 비법을 옥천의 물과 쌀로 재현한 전통 증류식 소주다. ‘로주’란 찹쌀과 멥쌀로 술을 빚은,35,"360ml, 500ml","국내산 쌀, 밀누룩, 정제수",,"쌀 소주 특유의 감칠맛과 숙성된 부드러운 맛이 느껴지는 증류식 소주다. 얼음, 탄산 등을 넣어 칵테일로도 즐길 수 있으며, 진한 맛으로 인해 ",Y,한주양조,경기도 안성시 서운면 서운로 241-14,http://hanjuy.kr.ecplaza.net,"2015 대한민국 우리술 품평회 최우수상 (증류식소주 부문), 2014 대한민국우리술품평회 장려상 (증류식소주 부문), 2010 대한민국우리술"
왕율주,"""왕율주""는 공주산 밤에 국내산 백미로 빚은 국내에서 최초로 생산된 밤 증류주이다. 공주밤을 넣은 소주 답게 밤의 맛이 진하게 베어 나온다. ",25,330ml,"국내산 쌀, 밤, 누룩, 정제수",,"혀로 느겨지는 부드럽고 깜끔한 맛, 밤향을 머금고 있는 독특한 향기가 있다. 입안에 머금고 있으면 은근한 단맛이 느껴지고 뒤에 따라오는 적절한",Y,사곡양조원,충남 공주시 사곡면 마곡사로 49,www.bamsul.com,
강주,강소주는 알코올 도수 50%의 고도주로 스트레이트로 직접 마시기 보다는 칵테일과 담금용 전용술로 제조한 술이다. 강소주로 담근술은 알코올 살균,50,"200ml, 1800ml","국내산 쌀, 정제수",,"알코올 향이 매우 강하고 여기에 미세하게 달콤한 향이 따라 올라온다. 국내에서는 보기 드물게 보리로만 제조된 리큐르이며, 보리 특유의 크림과 ",Y,내국양조,충남 논산시 연무읍 마종로 361,https://cafe.naver.com/jumarusa,
화주,"""화주""는 한 모금 입에 머금으면 무겁지 않은 알싸한 맛이 퍼지며 은은한 홍삼향이 느껴진다. 국내산 쌀을 원료로 발효, 숙성, 증류한 후 최상",25,375ml,"국내산 쌀, 홍삼농축액, 정제수",,옅은 호박색의 술로 6년근 홍삼이 들어갔지만 삼 특유의 향이 강하지 않고 산뜻한 향이 올라온다. 입 안에서 살짝 단맛과 쓴맛이 교차하고 도수가,Y,내국양조,충남 논산시 연무읍 마종로 361,https://cafe.naver.com/jumarusa,
계룡산 산삼주 금수강산 21%,계룡산 산삼주는 해발 400m 이상의 계룡산 줄기 무공해 청정지역에서 자란 10년 전후의 산양삼을 사용하여 한 해 5천병만 한정 생산하는 제품,21,740ml,"산양산삼, 정제수, 주정",,증류주에 산양산삼이 침출되어 있어 보는 즐거움과 함께 마실 수 있는 것이 특징이다. 같은 술에 계룡산산양산삼주는 21%로 도수를 낮춰 대중적으,Y,한국산삼,충남 공주시 계룡면 여서울2길 9,https://shopping.naver.com/fresh/traditionalalcohol/stores/100439678,
계룡산 산삼주 금수강산 40%,계룡산 산삼주&quot;는 해발 400m 이상의 계룡산 줄기 무공해 청정지역에서 자란 10년 전후의 산양삼을 사용하여 한 해 5천병만 한정 생,40,740ml,"산양산삼, 정제수, 주정",,증류주에 산양산삼이 침출되어 있어 보는 즐거움과 함께 마실 수 있는 것이 특징이다. 같은 술에 계룡산산양산삼주는 21%로 도수를 낮춰 대중적으,Y,한국산삼,충남 공주시 계룡면 여서울2길 9,https://shopping.naver.com/fresh/traditionalalcohol/stores/100439678,
한비 오가피술,"한비 오가피술""은 국내산 쌀을 발효하여 증류한 후 10년생 친환경 가시오가피 뿌리와 함께 숙성시킨 전통주이다 재료로 쓰이는 오가피는 국내에서 ",35,"375ml, 750ml","국내산 쌀, 누룩, 가시오가피 뿌리, 정제수",,"진한 호박색의 리큐르로 산뜻한 향이 올라오며, 약간의 단맛과 쓴맛이 오가피와 잘 어울린다. 도수에 비해 독하지 않고 목 넘김이 매우 부드러운 ",Y,제천한약영농조합법인,충북 제헌치 봉양읍 북부로 5길 16-10,www.한비오가피술.com,
한비 쌀소주,"""한비쌀소주""는 국내산 쌀 100%와 누룩, 그리고 제천의 맑은 물 이외에 향과 맛을 내기 위한 어떠한 인공첨가물도 넣지않은 순수 전통소주이다",40,"375ml, 750ml","국내산 쌀, 누룩, 정제수",,"향이 강하지는 않지만 쌀을 발효시켜 증류했을 때의 고소함이 미세하게 올라오며, 아주 미세하게 산미가 느껴져 산뜻함을 가지고 있는 것이 특징이다",Y,제천한약영농조합법인,충북 제헌치 봉양읍 북부로 5길 16-10,www.한비오가피술.com,
문경바람 오크,한국 최초의 위스키 마스터블랜더 이종기 명인의 37년간 쌓아온 양조 기술로 탄생한 고급 증류주이다. 맛과 당도가 우수한 문경사과를 원료로 정통,40,"750ml, 375ml",사과(문경),,"초콜릿, 육포, 문경의 오미자 삼겹살구이, 더덕구이, 송이버섯구이 및 전골 등 추천한다.",Y,,,,
고운달 백자,"""고운달 백자""는 한국 최초의 위스키 마스터블랜더 이종기 명인의 36년간 쌓아온 양조 기술을 집약한 최고급 증류주이다. 한국 전통 문경도자기에",52,500ml,오미자(문경산),,"코 속부터 시작되는 잔잔한 오미자향, 머금고 난 이후에 뱃속에서 올라오는 은은한 오미자의 맛. 향과 맛 모두 일품이다. 술맛을 방해하지 않는 ",Y,오미나라,경북 문경시 문경읍 새재로 609,http://www.omynara.com/,
고운달 오크,고운달은 오미자를 원료로 한국와인의 새로운 지평을 연 위스키 마스터 블랜더 이종기 장인에 의해 탄생한 프리미엄 증류주이다. 오미자 브랜디 고운,52,"200ml, 500ml",오미자(문경산),,"잔잔한 초콜릿과 커피향, 그리고 마시고 난 다음에 느껴지는 기품 있는 오미자의 향. 부드럽게 넘어가는 목 넘김을 가지고 있다. 가벼운 안주류로",Y,오미나라,경북 문경시 문경읍 새재로 609,http://www.omynara.com/,2017 대한민국 우리술품평회 증류주 대상
세우리,"세우리는 제주도 한라산에서 자란 산양산삼과 하수오, 그리고 구기자를 넣어 만든 알콜도수가 45%인 증류주이다. 구기자의 붉은 색, 하수오의 담",45,700ml,"산양삼, 하수오, 구기자, 쌀",,유리병 안에 들어있는 산양산삼이 인상적이고 진한 호박색의 술로 인삼과 함께 여러 가지 약재의 향이 가득한 것이 특징이다. 도수가 높아 집에 두,Y,제주샘주,제주 제주시 애월읍 애언로 283,http://www.jejusaemju.co.kr,
The 찾을수록,"더찾을수록 시리즈는 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, ",14~16,360ml,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",2016 찾아가는 양조장,식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,Y,㈜한국애플리즈,경북 의성군 단촌면 일직점곡로 755,http://www.applewine.co.kr/,
추사40,농업회사법인 예산사과와인에서 직접 재배한 사과를 증류하여 프랑스의 칼바도스와 동일하게 오크통 숙성한 사과증류주이다. 2010년부터 연구 개발하,40,500ml,"사과증류원액, 정제수",2014 찾아가는 양조장,"오크통에서 오랜 숙성으로 생긴 훈연 된 나무향과 달콤한 향이 코를 자극시키며, 알코올 도수에 비해 자극적이지 않고 입 안에서 부드럽게 퍼져나가",Y,예산사과와인,충남 예산군 고덕면 대몽로 107-25,http://www.chusawine.com,2019 대한민국 우리술품평회 증류주 대상
징기스칸,레드와인을 감압식 증류하여 38도로 만든 브랜디입니다. 미국 캘리포니아산 오크통에서 5년간 숙성하여 브랜디 마니아의 입맛에 맞추었다. 진한 스,40,375ml,레드와인,,굴 요리와 잘 어울립니다.,Y,고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,
로아40 옐로우,"로아 40도 옐로우""는 국내산 쌀과 배를 원료로 사용하여 빚은 술을 상압동 증류기를 통해 증류하여 장기간 숙성한 제품입니다. ""흰 빌깔의 이슬",40,350ml,"쌀(국산), 배(국산)",,갈치젓 등 젓갈류,Y,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,
오매락,국산 배증류원액과 구운매실(오매)로 빚어 향온 암실에서 숙성한 40도 고도주 오매락(烏梅樂)입니다. 입안 가득 퍼지는 매실의 맛과 향이 매력적,40,500ml,"배를 증류한 원액, 정제수, 설탕, 매실, 오매(구운 매실)",,"닭고기, 부침개",Y,배상면주가,경기도 포천시 화현면 화현리 512,http://www.sansawon.co.kr,
제주술익는집 고소리술,제주를 대표하는 &amp;quot;고소리술&amp;quot;은 &amp;quot;오메기술&amp;quot;이 등장하고 나서 수백 년의 세월이 ,40,400ml,"잡곡, 누룩, 정제수",대한민국 식품명인2018 찾아가는 양조장,기름기 많은 고등어 회,Y,제주고소리술익는집,제주도 서귀포시 표선면 중산간동로 4726,http://jejugosorisul.com/,
문배술 헤리티지 40도,문배술은 알콜도수 40%임에도 불구하고 부드러운 목넘김과 입속 가득한 향기를 느낄 수 있는 우리의 전통소주입니다. 문배술 헤리티지 40도 제품,40,200ml,"메조, 찰수수, 쌀",대한민국 식품명인,활어회,Y,문배주양조원,경기 김포 통진 검암2로15번길 27,www.moonbaesool.co.kr,
문배술 헤리티지 25도,문배술은 메조와 찰수수를 이용하여 빚어낸 순곡의 증류주임에도 문배나무의 과실 향기가 난다고 하여 문배술이라 말하고 있습니다. 문배술 헤리티지 ,25,375ml,"메조, 찰수수, 쌀",,복지리,Y,문배주양조원,경기 김포 통진 검암2로15번길 27,www.moonbaesool.co.kr,
명인 안동소주 22%,명인 안동소주는 전통식품명인 6호로 지정된 박재서 명인이 안동소주 본연의 맛을 예술의 경지까지 끌어올린 제품입니다. 안동지방 고지대 지하 암반,22,360ml,"쌀(국내산), 누룩, 정제수",대한민국 식품명인 제6호 박재서2015 찾아가는 양조장,간고등어 구이,Y,명인안동소주,경북 안동시 풍산읍 산업단지6길 6,http://www.adsoju.com,
명인 안동소주 하회탈,반남박씨 집안에서 500년 대대로 내려온 가양주로 현 대한민국식품명인 제 6호인 박재서명인이 직접 제조한 순곡 증류식 소주입니다. 100% 우,45,800ml,국내산 쌀 100%,대한민국 식품명인 제6호 박재서2015 찾아가는 양조장,"육회, 회, 갈비살",Y,명인안동소주,경북 안동시 풍산읍 산업단지6길 6,http://www.adsoju.com,
명인 안동소주,반남박씨 집안에서 500년 대대로 내려온 가양주로 현 대한민국식품명인 제 6호인 박재서명인이 직접 제조한 순곡 증류식 소주입니다. 100% 우,45,800ml,국내산 쌀 100%,대한민국 식품명인 제6호 박재서2015 찾아가는 양조장,"육회, 회, 갈비살",Y,명인안동소주,경북 안동시 풍산읍 산업단지6길 6,http://www.adsoju.com,
소호,직접 제작한 증류기로 내려 1년 여간 숙성한 증류소주입니다. 2번 증류한 36.5도와 3번 내린 56도 두 가지가 있습니다. 높은 도수에도 부,"36.5, 56","350ml, 750ml","평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎",,,Y,밝은세상영농조합,경기도 평택시 포승읍 충열길 37,http://www.tigercalyx.com/,
미르,효소제나 효모제 없이 직접 띠운 밀 누룩의 힘으로만 발효하고 고문헌에 기록된 우리 최초의 소주 제조법을 지켜 만드는 전통 증류소주입니다. 25,"25, 40, 54",375ml,"쌀, 정제수",2017 찾아가는 양조장,"중화요리, 김치찌개, 삼겹살",Y,술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,http://www.sulseam.com,2018 대한민국 우리술품평회 대통령상
두레앙22,와인을 감압증류한 명품 증류주의 35% 알코올을 22%로 낮춘 제품입니다.목넘김이 더욱 부드러우며 포도주 증류주의 향이 있어 일반 술로 품,22,375ml,"포도, 메타중아황산칼륨, 효모, 설탕, 정제수",,"향이 있는 명품 술로 삽겹살, 소고기, 생선 구이 등에 최적입니다.",Y,(주)두레양조,충남 천안시 서북구 입장면 율목길17-6,http://duraean.co.kr/index.html,"2009년 한국 전통주 품평회(증류식소주부문)은상 수상, 2011년 대한민국 우리술 품평회 (일반증류주부문)대상 수상, 2015몽드셀렉션(일반"
계룡백일주 40%,16도의 백일주를 증류시켜 만든 계룡백일주 40도는 목젖이 칼칼한 맛과 진한 감칠맛이 뛰어나 더욱 깊은 맛을 즐길수 있습니다 그 맛에 취해 자,40,600ml,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",,"갈비구이, 생선회",Y,계룡백일주,충남 공주시 봉정동 390,https://paegilju.modoo.at/,
안동소주,"전통식품명인 제20호 조옥화 명인이 빚은 안동소주는 안동의 맑고 깨끗한 물, 양질의 쌀과 누룩을 가지고 전승되어온 전통비법으로 빚어낸 증류식소",45,"400ml, 600ml, 800ml",국내산 쌀,대한민국 식품명인,"육포, 고등어구이  쇠고기육포와 고등어구이처럼 지방이 적고 담백한 음식과 함께 마시면 안동소주의 은은한 향과 맛이 길게 여운을 남긴다.",N,민속주안동소주,경북 안동시 강남로 71-1(수상동),www.andongsoju.com,
포항불로주,포항불로주는 천연미네랄이 풍부한 청정지하암반수와 쌀을 발효시켜 증류한 순곡주이다. 맑고 투명하며 맛이 부드럽고 마신 후 자극이 없으며 입안에서,"35, 45","35-750ml, 45-800ml",국내산 쌀,,소고기 육회고소하고 담백한 육회에 불로주를 한잔하면 입안에 감도는 향이 긴 여운을 남긴다.,Y,불로주,경북 포항시 북구 청하면 소동리 720-2,,2010 대한민국우리술품평회 우수상 (증류식소주 부문)
고소리술,,40,400-500ml,"백미, 차조, 입국, 누룩, 효모(팽창제), 정제효소, 스테비올배당체(감미료), 정제수",2014 찾아가는 양조장,"육류구이  독특한 향과 깔끔한 뒷맛의 증류식곡주는 입안을 깔끔하게 정리해주는 맛이라고 할 수 있는데, 안주로 고기를 씹으면서 고소한 풍미와 육",Y,제주샘주,제주 제주시 애월읍 애원로 283,http://www.jejusaemju.co.kr,"2011 대한민국우리술품평회 대상 (증류식소주 부문), 2012 대한민국우리술품평회 최우수상 (증류식소주 부문), 2013 대한민국우리술품평회"
추성주,"추성주는 고려시대 담양 연동사에서 스님이 밥에 약초를 섞어 발효시킨데서 유래되었으며 조선 선조때는 ‘신선주’, ‘제세팔선주’로도 불리기도 했다",25,350ml,"국내산 쌀, 국내산 한약재",대한민국 식품명인2014 찾아가는 양조장,"갈치조림, 죽순회무침  갈치는 살이 희고 부드러우며 감칠맛이 있는데 중간크기로 새벽과 아침녘에 잡힌것이 더 맛있다고 한다. 죽순회무침은 데친갑",Y,추성고을,전남 담양군 용면 추령로 29,http://www.chusungju.co.kr,
타미앙스,타미앙스는 담양을 불어식으로 명명한 것으로 추성주의 원주가 되는 술이다. 자연 대나무 숯으로 여과한 후 자연대나무통과 함께 숙성함으로써 불순물,40,400ml,"국내산 쌀, 국내산 한약재",전통식품명인 제22호 양대수,"떡갈비, 양곱창구이  떡갈비에 돔배젓, 토하젓, 진석화젓을 상추에 싸서 먹는다면 술안주로 금상첨화이다. 곱창은 담백하고 고소한 맛을 내어 예로",Y,추성고을,전남 담양군 용면 추령로 29,http://www.chusungju.co.kr,"2013 대한민국우리술품평회 대상 (일반증류주 부문), 2014 SWSC 금상2014 Monde-selection 금상"
로얄 안동소주,고려후기 일본정벌 때문에 안동에 주둔한 원나라군이 군사용으로 빚었던 소주가 민간에 전래되어 내려온 것이 안동소주의 기원이다. 로얄 안동소주는 ,45,"600ml, 800ml",국내산 쌀,,"삼겹살찜  통삼겹살을 된장, 청주, 재래간장, 마늘을 섞은 양념장에 하루정도 재워 숙성시킨 후 찜통에 쪄낸 삼겹살찜은 육질이 부드럽고 돼지고기",Y,(농)유토피아㈜,경북 안동시 남후면 큰광음길 107,http://www.sojumall.com/,"2012 대한민국우리술품평회 장려상 (증류식소주 부문), 2013 대한민국우리술품평회 최우수상 (증류식소주 부문), 2014 대한민국우리술품평"
"명인안동소주 35%, 45%",반남박씨 25대손인 전통식 품명인 제6호 박재서명인이 빚은 안동소주는 안동지방의 좋은 물과 쌀로 빚어 장기간 숙성시킨 순곡증류주로 은은한 향과,"22, 35, 45","22, 35-360ml, 45-400ml, 600ml, 800ml",국내산 쌀,전통식품명인 제6호 박재서2015 찾아가는 양조장,"소고기 육회, 생선회, 목살양념단호박찜  신선한 육회와 고추냉이간장을 찍은 생선회, 목살양념단호박찜이 잘 어울리는데 안동소주가 입안을 깔끔하게",N,명인안동소주,경북 안동시 풍산읍 산업단지6길 6,http://www.adsoju.com,"2010 대한민국우리술품평회 최우수상 (증류식소주 부문), 2011 대한민국우리술품평회 최우수상 (증류식소주 부문), 2012 대한민국우리술품"
금산인삼주 수삼 500,,43,500ml,"국내산 쌀, 국내산 인삼",대한민국 식품명인 제2호 김창수,"생선회  쫄깃한 식감과 고소한 맛의 생선회 한 점을 먹고 수삼500을 한모금하면 생선회의 비린 맛도 가시고, 인삼향이 오랫동안 입안에 머무른다",Y,㈜금산인삼주,충남 금산군 금성면 파초길 23,www.insamwine.com,2011 대한민국우리술품평회 장려상 (일반증류주 부문)
금휘,"양조장이 위치하는 제천 송한리는 조선시대부터 물 좋고 소나무가 번성하며, 한국약초의 본향으로 유명하다. 이 지역에는 황기를 비롯한 약초가 많이",35,500ml,"국내산 쌀, 황기, 금나노화된 황금물",,류산슬  류산슬은 육류와 각종해물을 걸쭉한 소스에 부드럽게 조린 음식으로 맛이 담백해 위에 부담을 주지 않는다. 금휘의 강한 맛을 부드럽게 감,Y,용두산조은술(영),충북 제천시 송학면 송한리 477-3번지,,2013 대한민국우리술품평회 우수상 (일반증류주 부문)
두레앙 일반증류주,"1996년 8월 정부의 포도가 공식품 수입개방선언으로 포도가격이 하락하여 수입개방대응의 일환으로 농가들이 출자하여 회사를 설립, 제품을 생산하",35,750ml,국내산 포도,,다양한 채소와 함께하는 고기류와 함께 차게해서 드시면 포도 향과 증류주의 깔끔함을 즐길 수 있습니다. 알코올 도수가 높아 거부감이 있다면 ,Y,,,,"2020 대한민국우리술품평회 최우수상 (일반증류주 부문), 2019 대한민국우리술품평회 최우수상 (일반증류주 부문), 2018 대한민국우리술품"
